ID,F30,F32,F00,F01,F11
439596,RPUOMLLLQHHFFCC97CA,C,安樂區,4,3
439597,RPPNMLSJQHHFFCC97DA,C,安樂區,4,8
439598,RPPNMLKKQHHFFCC37EA,C,中山區,5,8
439599,RPVNMLNLQHHFFCC38EA,C,七堵區,3,9
439600,RPTNMLSJQHHFFCC48EA,C,中山區,3,2
439601,RPWNMLLMQHHFFCC28DA,C,七堵區,4,3
439602,RPOOMLLMQHHFFCC57DA,C,安樂區,3,2
439603,RPQOMLOJRHHFFCC87DA,C,暖暖區,4,3
439604,RPQNMLPKQHHFFCC77CA,C,暖暖區,3,9
439605,RPQNMLQKQHHFFCC87CA,C,七堵區,3,3
439606,RPVNMLLLQHHFFCC97CA,C,安樂區,3,3
439607,RPOOMLLLQHHFFCC37CA,C,安樂區,3,8
439608,RPSOMLLLQHHFFCC77CA,C,安樂區,3,8
439609,RPSNMLKMQHHFFCC67CA,C,安樂區,3,2
439610,RPRNMLLMQHHFFCC67CA,C,中山區,3,2
439611,RPVNMLPJRHHFFCC38DA,C,安樂區,4,3
439612,RPXNMLLMQHHFFCC38DA,C,七堵區,4,3
439613,RPUNMLLMQHHFFCC08DA,C,七堵區,4,3
439614,RPUOMLTLQHHFFCC88DA,C,安樂區,2,2
439615,RPPNMLQJLHIFFBC27DA,C,仁愛區,4,3
439616,RPWNMLLMQHHFFBC18DA,C,中正區,3,2
439617,RPQOMLLMQHHFFBC67DA,C,中正區,4,3
439618,RPROMLLMQHHFFBC77DA,C,中正區,3,7
439619,RPUNMLPJRHHFFBC18DA,C,中正區,3,2
439620,RPPNMLTJQHHFFCC18EA,C,安樂區,3,2
439621,RPVNMLKKQHHFFCC97EA,C,安樂區,4,9
439622,RPTNMLKKQHHFFCC77EA,C,七堵區,3,2
439623,RPQNMLOJRHHFFCC87EA,C,暖暖區,4,3
439624,RPQNMLQJRHHFFBC97EA,C,信義區,3,9
439625,RPSOMLOJRHHFFCC18EA,C,安樂區,3,3
439626,RPRNMLPJRHHFFCC08EA,C,七堵區,3,3
439627,RPUNMLKKQHHFFCC87EA,C,七堵區,3,2
439628,RPRNMLTJQHHFFCC28DA,C,安樂區,3,2
439629,RPUNMLLLQHHFFCC87CA,C,中山區,3,8
439630,RPRNMLKLQHHFFCC47CA,C,安樂區,3,5
439631,RPRNMLPKQHHFFBC77CA,C,仁愛區,3,9
439632,RPTNMLLLQHHFFBC67CA,C,中正區,3,2
439633,RPVNMLLLQHHFFBC87CA,C,仁愛區,4,3
439634,RPRNMLMLQHHFFBC57CA,C,信義區,3,3
439635,RPQOMLLLQHHFFCC57CA,C,安樂區,4,9
439636,RPQQMLNJRHHFFCC87CA,C,安樂區,3,2
439637,RPVOMLSLQHHFFCC78CA,C,安樂區,3,9
439638,RPWNMLOLQHHFFCC38CA,C,安樂區,3,8
439639,RPTOMLQJRHHFFCC28CA,C,暖暖區,3,2
439640,RPQNMLTJQHHFFCC18DA,C,七堵區,3,2
