ID,F16,F17,F18,F19,F20,F23,F24,F25
439596,3,2,2,有,有,坡道平面,27.44000053,0
439597,3,2,4,有,有,一樓平面,0,0
439598,2,1,1,有,無,,0,0
439599,2,2,2,有,有,,0,0
439600,3,1,1,有,無,,0,0
439601,2,2,2,有,無,坡道平面,29.75,1000000
439602,2,2,2,有,無,,0,0
439603,3,2,2,有,有,坡道平面,34.43000031,0
439604,4,2,2,有,有,,0,0
439605,3,2,1,有,有,,0,0
439606,3,2,2,有,有,,0,0
439607,5,2,3,有,有,,0,0
439608,5,2,3,有,有,,0,0
439609,2,1,1,有,無,,0,0
439610,3,2,2,有,無,,0,0
439611,3,2,1,有,有,坡道平面,12.57999992,0
439612,2,2,2,有,無,坡道平面,29.75,1100000
439613,2,2,2,有,無,坡道平面,29.75,1100000
439614,0,0,0,無,有,坡道平面,9.5,650000
439615,3,2,2,有,有,坡道平面,0,0
439616,3,2,1,有,無,,0,0
439617,4,2,2,有,有,坡道平面,36.84000015,0
439618,1,1,1,有,有,,0,0
439619,3,2,2,有,無,,0,0
439620,3,1,2,有,無,,0,0
439621,3,2,2,有,有,坡道平面,0,0
439622,2,1,1,有,無,,0,0
439623,3,2,2,有,無,坡道平面,28.62000084,900000
439624,3,2,2,有,有,,0,0
439625,2,1,1,有,有,,0,0
439626,1,1,1,有,有,,0,0
439627,2,1,1,有,無,,0,0
439628,3,2,1,有,無,,0,0
439629,0,0,0,無,無,,0,0
439630,0,1,1,無,無,,0,0
439631,2,2,2,有,無,,0,0
439632,6,0,6,有,無,,0,0
439633,4,2,2,有,有,坡道平面,0,0
439634,1,1,1,有,有,,0,0
439635,3,3,2,有,有,坡道平面,0,0
439636,3,2,1,有,無,,0,0
439637,4,2,2,有,有,,0,0
439638,3,1,2,有,無,,0,0
439639,3,2,1,有,有,,0,0
439640,3,2,1,有,無,,0,0
439641,1,0,1,有,無,,0,0
439642,3,2,1,有,無,,0,0
439643,3,2,2,有,無,,0,0
439644,3,1,1,有,無,,0,0
439645,0,0,0,無,無,,0,0
439646,3,2,2,有,有,,0,0
439647,3,2,2,有,無,,0,0
439648,3,1,1,有,無,,0,0
439649,3,1,2,有,無,,0,0
439650,1,0,1,有,有,坡道機械,30.28000069,0
439651,4,2,2,有,無,坡道平面,0,0
439652,3,2,1,有,無,,0,0
439653,3,2,2,有,有,坡道平面,0,0
439654,0,0,0,有,無,,0,0
439655,0,0,0,有,有,坡道平面,36.52999878,400000
439656,0,0,0,有,有,坡道平面,36.52999878,400000
439657,3,2,2,有,無,,0,0
439658,3,2,2,有,有,坡道平面,19.64999962,900000
439659,4,2,2,有,有,坡道平面,25.54999924,700000
439660,4,2,2,有,有,坡道平面,19.64999962,900000
439661,3,2,2,有,有,坡道機械,19.63999939,1150000
439662,3,2,2,有,有,坡道平面,19.64999962,800000
439663,3,2,2,有,有,,0,0
439664,3,2,2,有,有,,0,0
439665,4,2,3,有,有,,0,0
439666,3,2,2,有,有,,0,0
439667,4,1,2,有,無,,0,0
439668,4,0,4,有,無,,0,0
439669,3,1,2,有,無,,0,0
439670,1,2,1,有,有,,0,0
439671,3,2,2,有,無,坡道平面,32.04000092,900000
439672,3,2,2,有,有,坡道平面,0,0
439673,3,1,2,有,無,,0,0
439674,2,1,1,有,無,,0,0
439675,2,1,1,有,有,坡道平面,34.99000168,0
439676,3,1,2,有,無,,0,0
439677,4,2,2,有,有,坡道平面,0,0
439678,6,0,6,有,無,,0,0
439679,3,2,1,有,有,,0,0
439680,3,2,2,有,無,,0,0
439681,3,2,1,有,無,,0,0
439682,3,2,2,有,有,,0,0
439683,4,2,2,有,有,坡道平面,0,0
439684,2,2,2,有,無,,0,0
439685,3,1,1,有,無,,0,0
439686,0,0,1,有,無,,0,0
439687,1,1,1,有,有,,0,0
439688,2,1,1,有,有,,0,0
439689,3,1,1,有,無,,0,0
439690,1,1,1,有,無,,0,0
439691,3,2,2,有,有,,0,0
439692,3,2,2,有,有,坡道平面,0,0
439693,1,0,1,無,無,,0,0
439694,3,2,2,有,有,,0,0
439695,0,0,0,無,有,坡道平面,3.430000067,0
439696,0,0,0,有,有,坡道平面,44.27999878,1150000
439697,1,1,1,有,有,,0,0
439698,4,0,4,有,無,,0,0
439699,1,0,1,有,有,,0,0
439700,3,2,2,有,無,坡道平面,41.15999985,0
439701,3,2,1,有,無,,0,0
439702,0,0,0,有,有,坡道平面,36.54000092,400000
439703,0,0,1,無,無,,0,0
439704,1,1,1,有,有,,0,0
439705,1,1,1,有,有,,0,0
439706,5,1,2,有,無,,0,0
439707,2,1,1,有,有,坡道平面,0,0
439708,3,2,1,有,無,,0,0
439709,3,2,1,有,無,,0,0
439710,2,2,2,有,有,,0,0
439711,3,2,1,有,無,,0,0
439712,2,1,1,有,有,,0,0
439713,0,0,0,無,無,,0,0
439714,3,2,2,有,有,,0,0
439715,3,2,1,有,有,,0,0
439716,2,1,1,有,無,,0,0
439717,2,2,1,有,有,,0,0
439718,3,2,2,有,無,坡道平面,0,0
439719,1,1,1,有,有,坡道平面,0,0
439720,3,2,2,有,有,坡道平面,41.61000061,0
439721,5,2,4,有,無,,0,0
439722,3,2,1,有,有,,0,0
439723,2,1,1,有,有,,0,0
439724,1,1,1,有,無,,0,0
439725,4,3,3,有,無,,0,0
439726,3,2,1,有,無,,0,0
439727,2,1,2,有,無,,0,0
439728,0,0,0,無,有,坡道機械,0,0
439729,3,2,1,有,無,,0,0
439730,4,3,2,有,無,,0,0
439731,3,2,1,有,有,坡道平面,27.92000008,0
439732,2,1,1,有,有,,0,0
439733,0,0,0,無,無,,0,0
439734,0,0,0,無,有,,0,0
439735,1,1,1,有,無,,0,0
439736,3,2,2,有,無,,0,0
439737,3,1,2,有,有,,0,0
439738,3,2,1,有,有,,0,0
439739,3,2,2,有,有,,0,0
439740,3,2,2,有,有,坡道平面,0,0
439741,3,2,1,有,有,,0,0
439742,3,2,2,有,無,一樓平面,0,0
439743,3,2,1,有,無,,0,0
439744,3,2,2,有,有,坡道平面,38.72000122,400000
439745,4,2,2,有,有,,0,0
439746,3,1,1,有,無,,0,0
439747,2,1,2,有,有,,0,0
439748,3,2,2,有,有,坡道機械,0,500000
439749,3,2,2,有,無,,0,0
439750,3,1,1,有,有,升降機械,11.85999966,0
439751,4,2,2,有,無,,0,0
439752,3,2,2,有,有,,0,0
439753,1,1,1,有,有,坡道平面,29.77000046,0
439754,0,0,0,有,無,,0,0
439755,4,2,2,有,無,,0,0
439756,0,0,0,有,有,坡道平面,137.8500061,1200000
439757,0,0,1,無,無,,0,0
439758,2,1,1,有,無,,0,0
439759,0,0,0,無,無,,0,0
439760,3,1,1,有,無,,0,0
439761,2,2,1,有,無,,0,0
439762,2,1,1,有,有,,0,0
439763,0,0,0,有,有,坡道機械,0,500000
439764,4,2,3,有,無,,0,0
