ID,F21,F22,F21a,F22a,F21b,F22b,F22c
439596,4150000,28765,415,9.5,322,9.100000381,9.5
439597,7400000,35068,740,11.60000038,647,11.80000019,12.30000019
439598,300000,15924,30,5.300000191,30,5.300000191,5.5
439599,3200000,31451,320,10.39999962,320,10.39999962,10.89999962
439600,770000,12332,77,4.099999905,77,4.099999905,4.300000191
439601,8240000,55124,824,18.20000076,724,18.20000076,19
439602,2500000,28338,250,9.399999619,250,9.399999619,9.800000191
439603,4000000,28918,400,9.600000381,307,9.800000191,10.19999981
439604,2000000,15193,200,5,200,5,5.199999809
439605,3200000,31456,320,10.39999962,320,10.39999962,10.89999962
439606,3300000,29632,330,9.800000191,330,9.800000191,10.19999981
439607,5500000,33597,550,11.10000038,550,11.10000038,11.60000038
439608,11000000,41633,1100,13.80000019,1100,13.80000019,14.39999962
439609,1160000,26673,116,8.800000191,116,8.800000191,9.199999809
439610,1920000,21053,192,7,192,7,7.300000191
439611,5500000,41551,550,13.69999981,426,11.80000019,12.30000019
439612,8700000,56959,870,18.79999924,760,18.79999924,19.60000038
439613,8800000,57708,880,19.10000038,770,19.10000038,20
439614,650000,,65,,,,
439615,5800000,33851,580,11.19999981,487,11.39999962,11.89999962
439616,2750000,28709,275,9.5,275,9.5,9.899999619
439617,4800000,27099,480,9,387,9.100000381,9.5
439618,750000,23112,75,7.599999905,75,7.599999905,7.900000095
439619,1950000,18567,195,6.099999905,195,6.099999905,6.400000095
439620,1300000,13732,130,4.5,130,4.5,4.699999809
439621,3000000,20990,300,6.900000095,238,7,7.300000191
439622,2200000,33083,220,10.89999962,220,10.89999962,11.39999962
439623,5800000,37257,580,12.30000019,490,12.30000019,12.89999962
439624,2300000,21770,230,7.199999809,230,7.199999809,7.5
439625,1600000,32237,160,10.69999981,160,10.69999981,11.19999981
439626,1800000,30570,180,10.10000038,180,10.10000038,10.60000038
439627,2200000,33846,220,11.19999981,220,11.19999981,11.69999981
439628,1500000,18498,150,6.099999905,150,6.099999905,6.400000095
439629,700000,25926,70,8.600000381,70,8.600000381,9
439630,2500000,27488,250,9.100000381,250,9.100000381,10
439631,4100000,74451,410,24.60000038,410,24.60000038,25.70000076
439632,3700000,48780,370,16.10000038,370,16.10000038,16.79999924
439633,7200000,40339,720,13.30000019,596,13.19999981,13.80000019
439634,730000,17877,73,5.900000095,73,5.900000095,6.199999809
439635,6000000,34145,600,11.30000019,600,11.30000019,11.80000019
439636,2900000,25564,290,8.5,290,8.5,8.899999619
439637,4300000,28792,430,9.5,430,9.5,9.899999619
439638,2500000,24272,250,8,250,8,8.399999619
439639,1200000,12902,120,4.300000191,120,4.300000191,4.5
439640,2430000,30971,243,10.19999981,243,10.19999981,10.69999981
439641,980000,29679,98,9.800000191,98,9.800000191,10.19999981
439642,2920000,21519,292,7.099999905,292,7.099999905,7.400000095
439643,4000000,31414,400,10.39999962,400,10.39999962,10.89999962
439644,1000000,14049,100,4.599999905,100,4.599999905,4.800000191
439645,4100000,101010,410,33.40000153,410,33.40000153,34.90000153
439646,3900000,30499,390,10.10000038,390,10.10000038,10.60000038
439647,2800000,22486,280,7.400000095,280,7.400000095,7.699999809
439648,2150000,23023,215,7.599999905,215,7.599999905,7.900000095
439649,2650000,27639,265,9.100000381,265,9.100000381,9.5
439650,1300000,22110,130,7.300000191,86.59999847,10,10.39999962
439651,5660000,31343,566,10.39999962,473,10.39999962,10.89999962
439652,1900000,23154,190,7.699999809,190,7.699999809,8
439653,7200000,47083,720,15.60000038,596,16,16.70000076
439654,23247870,33275,2324.800049,11,,211.344635,
439655,400000,,40,,,,
439656,400000,,40,,,,
439657,3300000,28562,330,9.399999619,330,9.399999619,9.800000191
439658,7270000,47115,727,15.60000038,637,15.60000038,16.29999924
439659,6600000,40276,660,13.30000019,590,13.30000019,13.89999962
439660,9890000,48227,989,15.89999962,899,15.89999962,16.60000038
439661,7250000,45115,725,14.89999962,610,14.89999962,15.60000038
439662,6750000,44009,675,14.5,595,14.5,15.19999981
439663,5560000,42909,556,14.19999981,556,14.19999981,14.80000019
439664,3250000,27367,325,9,325,9,9.399999619
439665,10500000,25485,1050,8.399999619,1050,8.399999619,8.800000191
439666,3900000,28830,390,9.5,390,9.5,9.899999619
439667,1900000,19740,190,6.5,190,6.5,6.800000191
