ID,縣市代碼,區域,人口數,日期
1,F,板橋區,554742,10712
2,F,板橋區,554528,10711
3,F,板橋區,554357,10710
4,F,板橋區,554236,10709
5,F,板橋區,553565,10708
6,F,板橋區,552954,10707
7,F,板橋區,552451,10706
8,F,板橋區,552025,10705
9,F,板橋區,551703,10704
10,F,板橋區,551503,10703
11,F,板橋區,551473,10702
12,F,板橋區,551452,10701
13,F,板橋區,551480,10612
14,F,板橋區,551557,10611
15,F,板橋區,551464,10610
16,F,板橋區,551597,10609
17,F,板橋區,551795,10608
18,F,板橋區,551826,10607
19,F,板橋區,552004,10606
20,F,板橋區,552250,10605
21,F,板橋區,557062,10604
22,F,板橋區,552306,10603
23,F,板橋區,552257,10602
24,F,板橋區,552220,10601
25,F,板橋區,552285,10512
26,F,板橋區,552178,10511
27,F,板橋區,552341,10510
28,F,板橋區,552317,10509
29,F,板橋區,552748,10508
30,F,板橋區,553131,10507
31,F,板橋區,553430,10506
32,F,板橋區,553482,10505
33,F,板橋區,553595,10504
34,F,板橋區,553781,10503
35,F,板橋區,554062,10502
36,F,板橋區,554008,10501
37,F,板橋區,554236,10412
38,F,板橋區,554289,10411
39,F,板橋區,554351,10410
40,F,板橋區,554401,10409
41,F,板橋區,554545,10408
42,F,板橋區,554877,10407
43,F,板橋區,555138,10406
44,F,板橋區,555114,10405
45,F,板橋區,555170,10404
46,F,板橋區,555452,10403
47,F,板橋區,555684,10402
48,F,板橋區,555924,10401
49,F,板橋區,555914,10312
50,F,板橋區,555938,10311
51,F,板橋區,555794,10310
52,F,板橋區,555735,10309
53,F,板橋區,555891,10308
54,F,板橋區,556078,10307
55,F,板橋區,556241,10306
56,F,板橋區,556447,10305
57,F,板橋區,556588,10304
58,F,板橋區,556772,10303
59,F,板橋區,557007,10302
60,F,板橋區,556933,10301
61,F,板橋區,556920,10212
62,F,板橋區,556934,10211
63,F,板橋區,556838,10210
64,F,板橋區,556843,10209
65,F,板橋區,557062,10208
66,F,板橋區,557267,10207
67,F,板橋區,557403,10206
68,F,板橋區,557544,10205
69,F,板橋區,557351,10204
70,F,板橋區,557540,10203
71,F,板橋區,557471,10202
72,F,板橋區,557417,10201
73,F,板橋區,557440,10112
74,F,板橋區,557196,10111
75,F,板橋區,557040,10110
76,F,板橋區,557033,10109
77,F,板橋區,556885,10108
78,F,板橋區,556939,10107
79,F,板橋區,556898,10106
80,F,板橋區,556580,10105
81,F,板橋區,556069,10104
82,F,板橋區,556033,10103
83,F,板橋區,555792,10102
84,F,板橋區,555484,10101
85,F,板橋區,555335,10012
86,F,板橋區,554973,10011
87,F,板橋區,554816,10010
88,F,板橋區,554699,10009
89,F,板橋區,554755,10008
90,F,板橋區,554566,10007
91,F,板橋區,554410,10006
92,F,板橋區,554271,10005
93,F,板橋區,554165,10004
94,F,板橋區,554186,10003
95,F,板橋區,554386,10002
96,F,板橋區,554386,10001
97,F,三重區,385826,10712
98,F,三重區,385983,10711
99,F,三重區,386077,10710
100,F,三重區,386138,10709
101,F,三重區,386273,10708
102,F,三重區,386260,10707
103,F,三重區,386144,10706
104,F,三重區,386301,10705
105,F,三重區,386479,10704
106,F,三重區,386785,10703
107,F,三重區,387044,10702
108,F,三重區,387125,10701
109,F,三重區,387484,10612
110,F,三重區,387651,10611
111,F,三重區,387823,10610
112,F,三重區,387879,10609
113,F,三重區,387931,10608
114,F,三重區,388052,10607
115,F,三重區,387881,10606
116,F,三重區,388087,10605
117,F,三重區,388174,10604
118,F,三重區,388267,10603
119,F,三重區,388361,10602
120,F,三重區,388544,10601
121,F,三重區,388581,10512
122,F,三重區,388419,10511
123,F,三重區,388299,10510
124,F,三重區,388216,10509
125,F,三重區,388230,10508
126,F,三重區,388122,10507
127,F,三重區,388014,10506
128,F,三重區,388060,10505
129,F,三重區,388153,10504
130,F,三重區,388091,10503
131,F,三重區,388400,10502
132,F,三重區,388386,10501
133,F,三重區,388447,10412
134,F,三重區,388473,10411
135,F,三重區,388550,10410
136,F,三重區,388456,10409
137,F,三重區,388387,10408
138,F,三重區,388450,10407
139,F,三重區,388502,10406
140,F,三重區,388590,10405
141,F,三重區,388761,10404
142,F,三重區,388733,10403
143,F,三重區,389112,10402
144,F,三重區,389199,10401
145,F,三重區,389325,10312
146,F,三重區,389311,10311
147,F,三重區,389280,10310
148,F,三重區,389180,10309
149,F,三重區,389230,10308
150,F,三重區,389212,10307
151,F,三重區,389235,10306
152,F,三重區,389240,10305
153,F,三重區,389309,10304
154,F,三重區,389544,10303
155,F,三重區,389608,10302
156,F,三重區,389762,10301
157,F,三重區,389813,10212
158,F,三重區,389805,10211
159,F,三重區,389672,10210
160,F,三重區,389705,10209
161,F,三重區,389777,10208
162,F,三重區,389669,10207
163,F,三重區,389797,10206
164,F,三重區,389828,10205
165,F,三重區,389858,10204
166,F,三重區,390189,10203
167,F,三重區,390213,10202
168,F,三重區,390207,10201
169,F,三重區,390090,10112
170,F,三重區,390114,10111
171,F,三重區,390057,10110
172,F,三重區,389900,10109
173,F,三重區,389806,10108
174,F,三重區,389791,10107
175,F,三重區,389829,10106
176,F,三重區,389849,10105
177,F,三重區,390003,10104
178,F,三重區,390242,10103
179,F,三重區,390520,10102
180,F,三重區,390528,10101
181,F,三重區,390421,10012
182,F,三重區,390190,10011
183,F,三重區,390101,10010
184,F,三重區,390098,10009
185,F,三重區,390084,10008
186,F,三重區,389839,10007
187,F,三重區,389734,10006
188,F,三重區,389674,10005
189,F,三重區,389553,10004
190,F,三重區,389558,10003
191,F,三重區,389701,10002
192,F,三重區,389831,10001
193,F,中和區,412486,10712
194,F,中和區,412618,10711
195,F,中和區,412545,10710
196,F,中和區,412439,10709
197,F,中和區,412453,10708
198,F,中和區,412765,10707
199,F,中和區,412754,10706
200,F,中和區,412829,10705
201,F,中和區,412857,10704
202,F,中和區,413010,10703
203,F,中和區,413201,10702
204,F,中和區,413291,10701
205,F,中和區,413590,10612
206,F,中和區,413563,10611
207,F,中和區,413633,10610
208,F,中和區,413541,10609
209,F,中和區,413583,10608
210,F,中和區,413676,10607
211,F,中和區,413489,10606
212,F,中和區,413616,10605
213,F,中和區,413520,10604
214,F,中和區,413621,10603
215,F,中和區,413952,10602
216,F,中和區,414190,10601
217,F,中和區,414266,10512
218,F,中和區,414343,10511
219,F,中和區,414232,10510
220,F,中和區,414220,10509
221,F,中和區,414127,10508
222,F,中和區,413941,10507
223,F,中和區,413709,10506
224,F,中和區,413858,10505
225,F,中和區,413876,10504
226,F,中和區,413909,10503
227,F,中和區,414234,10502
228,F,中和區,414356,10501
229,F,中和區,414304,10412
230,F,中和區,414467,10411
231,F,中和區,414519,10410
232,F,中和區,414581,10409
233,F,中和區,414501,10408
234,F,中和區,414604,10407
235,F,中和區,414528,10406
236,F,中和區,414757,10405
237,F,中和區,414681,10404
238,F,中和區,414845,10403
239,F,中和區,415055,10402
240,F,中和區,415277,10401
241,F,中和區,415226,10312
242,F,中和區,415199,10311
243,F,中和區,415138,10310
244,F,中和區,415073,10309
245,F,中和區,415008,10308
246,F,中和區,414889,10307
247,F,中和區,414807,10306
248,F,中和區,414879,10305
249,F,中和區,414947,10304
250,F,中和區,415217,10303
251,F,中和區,415609,10302
252,F,中和區,415742,10301
253,F,中和區,415742,10212
254,F,中和區,415973,10211
255,F,中和區,416039,10210
256,F,中和區,416048,10209
257,F,中和區,415819,10208
258,F,中和區,415812,10207
259,F,中和區,415794,10206
260,F,中和區,415878,10205
261,F,中和區,416113,10204
262,F,中和區,416235,10203
263,F,中和區,416527,10202
264,F,中和區,416503,10201
265,F,中和區,416499,10112
266,F,中和區,416553,10111
267,F,中和區,416365,10110
268,F,中和區,416220,10109
269,F,中和區,416020,10108
270,F,中和區,415781,10107
271,F,中和區,415326,10106
272,F,中和區,415202,10105
273,F,中和區,414848,10104
274,F,中和區,414975,10103
275,F,中和區,414981,10102
276,F,中和區,414947,10101
277,F,中和區,414939,10012
278,F,中和區,414792,10011
279,F,中和區,414598,10010
280,F,中和區,414403,10009
281,F,中和區,414198,10008
282,F,中和區,414080,10007
283,F,中和區,414025,10006
284,F,中和區,414012,10005
285,F,中和區,414005,10004
286,F,中和區,413896,10003
287,F,中和區,414276,10002
288,F,中和區,414219,10001
289,F,永和區,221098,10712
290,F,永和區,221076,10711
291,F,永和區,221123,10710
292,F,永和區,221197,10709
293,F,永和區,221418,10708
294,F,永和區,221693,10707
295,F,永和區,222001,10706
296,F,永和區,222165,10705
297,F,永和區,222246,10704
298,F,永和區,222479,10703
299,F,永和區,222419,10702
300,F,永和區,222531,10701
301,F,永和區,222585,10612
302,F,永和區,222731,10611
303,F,永和區,222815,10610
304,F,永和區,222927,10609
305,F,永和區,223185,10608
306,F,永和區,223488,10607
307,F,永和區,223701,10606
308,F,永和區,223845,10605
309,F,永和區,223953,10604
310,F,永和區,224081,10603
311,F,永和區,224120,10602
312,F,永和區,224086,10601
313,F,永和區,223999,10512
314,F,永和區,224110,10511
315,F,永和區,224176,10510
316,F,永和區,224269,10509
317,F,永和區,224563,10508
318,F,永和區,224896,10507
319,F,永和區,225060,10506
320,F,永和區,225249,10505
321,F,永和區,225256,10504
322,F,永和區,225366,10503
323,F,永和區,225350,10502
324,F,永和區,225353,10501
325,F,永和區,225409,10412
326,F,永和區,225482,10411
327,F,永和區,225508,10410
328,F,永和區,225662,10409
329,F,永和區,225972,10408
330,F,永和區,226305,10407
331,F,永和區,226715,10406
332,F,永和區,226718,10405
