ID,year,year_t,gdp
1,2011Q1,100Q1,7.37
2,2011Q2,100Q2,4.28
3,2011Q3,100Q3,3.32
4,2011Q4,100Q4,0.68
5,2012Q1,101Q1,0.78
6,2012Q2,101Q2,0.42
7,2012Q3,101Q3,2.31
8,2012Q4,101Q4,4.63
9,2013Q1,102Q1,1.46
10,2013Q2,102Q2,2.51
11,2013Q3,102Q3,1.47
12,2013Q4,102Q4,3.31
13,2014Q1,103Q1,3.84
14,2014Q2,103Q2,4.31
15,2014Q3,103Q3,4.39
16,2014Q4,103Q4,3.56
17,2015Q1,104Q1,3.99
18,2015Q2,104Q2,0.71
19,2015Q3,104Q3,-0.64
20,2015Q4,104Q4,-0.54
21,2016Q1,105Q1,-0.14
22,2016Q2,105Q2,1.22
23,2016Q3,105Q3,2.08
24,2016Q4,105Q4,2.79
25,2017Q1,106Q1,2.94
26,2017Q2,106Q2,2.5
27,2017Q3,106Q3,3.36
28,2017Q4,106Q4,3.48
29,2018Q1,107Q1,3.15
30,2018Q2,107Q2,3.29
31,2018Q3,107Q3,2.27
