ID,縣市代碼,區域,人口數,日期
7501,J,芎林鄉,20285,10712
7502,J,芎林鄉,13236,10711
7503,J,芎林鄉,20310,10710
7504,J,芎林鄉,20319,10709
7505,J,芎林鄉,20304,10708
7506,J,芎林鄉,20323,10707
7507,J,芎林鄉,20333,10706
7508,J,芎林鄉,20349,10705
7509,J,芎林鄉,20330,10704
7510,J,芎林鄉,20353,10703
7511,J,芎林鄉,20343,10702
7512,J,芎林鄉,20328,10701
7513,J,五峰鄉,9077,10712
7514,J,五峰鄉,37465,10711
7515,J,五峰鄉,9128,10710
7516,J,五峰鄉,9161,10709
7517,J,五峰鄉,9127,10708
7518,J,五峰鄉,9121,10707
7519,J,五峰鄉,9086,10706
7520,J,五峰鄉,9069,10705
7521,J,五峰鄉,5099,10704
7522,J,五峰鄉,8760,10703
7523,J,五峰鄉,8730,10702
7524,J,五峰鄉,8712,10701
7525,J,尖石鄉,18185,10712
7526,J,尖石鄉,14092,10711
7527,J,尖石鄉,18157,10710
7528,J,尖石鄉,18124,10709
7529,J,尖石鄉,18078,10708
7530,J,尖石鄉,18081,10707
7531,J,尖石鄉,18075,10706
7532,J,尖石鄉,18024,10705
7533,J,尖石鄉,18012,10704
7534,J,尖石鄉,17932,10703
7535,J,尖石鄉,17928,10702
7536,J,尖石鄉,17928,10701
7537,J,北埔鄉,9425,10712
7538,J,北埔鄉,186839,10711
7539,J,北埔鄉,9439,10710
7540,J,北埔鄉,9439,10709
7541,J,北埔鄉,9449,10708
7542,J,北埔鄉,9445,10707
7543,J,北埔鄉,9453,10706
7544,J,北埔鄉,9450,10705
7545,J,北埔鄉,9450,10704
7546,J,北埔鄉,9442,10703
7547,J,北埔鄉,9443,10702
7548,J,北埔鄉,9446,10701
7549,J,關西鎮,29052,10712
7550,J,關西鎮,57490,10711
7551,J,關西鎮,29173,10710
7552,J,關西鎮,29197,10709
7553,J,關西鎮,29252,10708
7554,J,關西鎮,29298,10707
7555,J,關西鎮,29299,10706
7556,J,關西鎮,29330,10705
7557,J,關西鎮,29345,10704
7558,J,關西鎮,29344,10703
7559,J,關西鎮,29339,10702
7560,J,關西鎮,29358,10701
7561,J,竹東鎮,100519,10712
7562,J,竹東鎮,8921,10711
7563,J,竹東鎮,100476,10710
7564,J,竹東鎮,100494,10709
7565,J,竹東鎮,100568,10708
7566,J,竹東鎮,100556,10707
7567,J,竹東鎮,100572,10706
7568,J,竹東鎮,100603,10705
7569,J,竹東鎮,100835,10704
7570,J,竹東鎮,100987,10703
